valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,prix_par_m2,surface_terrain_log,est_maison
278000.0,102.0,3.0,1438.0,6.400232,46.925036,2725.4901960784314,7.271703706887368,1
343000.0,130.0,5.0,17.0,6.355538,46.916225,2638.4615384615386,2.8903717578961645,1
112000.0,170.0,4.0,1541.0,6.359275,46.909679,658.8235294117648,7.340835554123275,1
100320.0,100.0,3.0,615.0,6.26089,46.706704,1003.2,6.423246963533519,1
27500.0,50.0,3.0,560.0,6.34371,47.43086,550.0,6.329720905522696,1
229000.0,73.0,3.0,548.0,6.329654,47.1464,3136.986301369863,6.3080984415095305,1
215000.0,148.0,5.0,669.0,5.778185,47.235042,1452.7027027027027,6.507277712385012,1
197150.0,193.0,4.0,515.0,5.854172,47.077438,1021.5025906735751,6.246106765481563,1
197150.0,20.0,1.0,515.0,5.854172,47.077438,9857.5,6.246106765481563,1
195000.0,17.0,0.0,70.0,6.648328,47.452923,11470.588235294117,4.2626798770413155,1
195000.0,27.0,0.0,598.0,6.648056,47.452705,7222.222222222223,6.395261598115449,1
195000.0,180.0,5.0,598.0,6.648056,47.452705,1083.3333333333333,6.395261598115449,1
158000.0,90.0,4.0,671.0,6.585113,47.444174,1755.5555555555557,6.51025834052315,1
430000.0,134.0,4.0,1082.0,6.086123,47.237485,3208.955223880597,6.9874902470009905,1
505000.0,233.0,8.0,507.0,5.78096,47.198428,2167.3819742489272,6.230481447578482,1
180000.0,81.0,0.0,102.0,6.028389,47.238209,2222.222222222222,4.634728988229636,1
320000.0,135.0,6.0,576.0,6.054488,47.246369,2370.3703703703704,6.3578422665081,1
320000.0,135.0,6.0,425.0,6.054488,47.246369,2370.3703703703704,6.054439346269371,1
700000.0,50.0,1.0,825.0,6.001019,47.209919,14000.0,6.716594773520978,1
700000.0,308.0,0.0,825.0,6.001019,47.209919,2272.7272727272725,6.716594773520978,1
700000.0,50.0,3.0,825.0,6.001019,47.209919,14000.0,6.716594773520978,1
700000.0,65.0,4.0,825.0,6.001019,47.209919,10769.23076923077,6.716594773520978,1
478000.0,106.0,4.0,1248.0,6.571531,47.15453,4509.433962264151,7.130098510125578,1
478000.0,67.0,4.0,1248.0,6.571531,47.15453,7134.328358208955,7.130098510125578,1
478000.0,51.0,3.0,1248.0,6.571531,47.15453,9372.549019607843,7.130098510125578,1
478000.0,124.0,3.0,1248.0,6.571531,47.15453,3854.8387096774195,7.130098510125578,1
178500.0,123.0,5.0,865.0,5.795599,47.179723,1451.219512195122,6.763884908562435,1
459519.0,179.0,7.0,518.0,6.29301,46.746226,2567.145251396648,6.251903883165888,1
265250.0,108.0,5.0,840.0,6.069941,47.230993,2456.0185185185187,6.734591659972948,1
315000.0,196.0,7.0,652.0,6.2294,46.739453,1607.142857142857,6.481577129276431,1
232200.0,103.0,4.0,541.0,6.082656,47.279585,2254.368932038835,6.295266001439646,1
120238.18,92.0,4.0,499.0,6.106506,47.158536,1306.9367391304347,6.214608098422191,1
344000.0,142.0,4.0,556.0,5.866985,47.308746,2422.5352112676055,6.322565239927284,1
344000.0,142.0,4.0,759.0,5.866985,47.308746,2422.5352112676055,6.633318433280377,1
230000.0,29.0,0.0,3199.0,6.128637,46.95636,7931.0344827586205,8.070906088787819,1
230000.0,220.0,0.0,3199.0,6.128637,46.95636,1045.4545454545455,8.070906088787819,1
395000.0,148.0,5.0,270.0,6.353313,46.930712,2668.9189189189187,5.602118820879701,1
250000.0,205.0,8.0,1113.0,6.193492,47.081178,1219.5121951219512,7.01571242048723,1
220000.0,95.0,5.0,1717.0,6.04986,47.141937,2315.7894736842104,7.4489161025442,1
100000.0,83.0,3.0,192.0,6.475057,47.424293,1204.8192771084337,5.262690188904886,1
200000.0,133.0,4.0,411.0,6.224699,46.894041,1503.7593984962407,6.021023349349527,1
200000.0,73.0,3.0,411.0,6.224699,46.894041,2739.72602739726,6.021023349349527,1
105000.0,77.0,3.0,730.0,5.737694,47.21592,1363.6363636363637,6.594413459749778,1
105000.0,75.0,2.0,730.0,5.737694,47.21592,1400.0,6.594413459749778,1
182000.0,88.0,4.0,430.0,6.076998,47.280859,2068.181818181818,6.066108090103747,1
140000.0,80.0,5.0,345.0,6.143254,47.101138,1750.0,5.846438775057725,1
140000.0,80.0,5.0,580.0,6.143254,47.101138,1750.0,6.364750756851911,1
45000.0,96.0,5.0,1040.0,6.327583,47.265908,468.75,6.947937068614969,1
358000.0,98.0,5.0,642.0,6.371649,46.866963,3653.061224489796,6.466144724237619,1
377500.0,158.0,8.0,1000.0,6.136622,47.1069,2389.240506329114,6.90875477931522,1
377500.0,158.0,8.0,872.0,6.136622,47.1069,2389.240506329114,6.771935555839602,1
406700.0,149.0,5.0,876.0,6.263437,46.735342,2729.530201342282,6.776506992372183,1
250200.0,82.0,3.0,401.0,6.494609,47.151401,3051.2195121951218,5.996452088619021,1
300000.0,81.0,5.0,793.0,6.621565,47.055708,3703.703703703704,6.677083461247136,1
18500.0,90.0,5.0,55.0,6.583822,47.448812,205.55555555555554,4.02535169073515,1
260000.0,62.0,3.0,483.0,6.476796,47.04462,4193.548387096775,6.182084906716632,1
260000.0,90.0,3.0,483.0,6.476796,47.04462,2888.8888888888887,6.182084906716632,1
260000.0,55.0,2.0,483.0,6.476796,47.04462,4727.272727272727,6.182084906716632,1
287000.0,120.0,6.0,762.0,5.990184,47.187726,2391.6666666666665,6.637258031284457,1
49800.0,140.0,5.0,1335.0,6.311735,47.424523,355.7142857142857,7.197435354096591,1
180000.0,68.0,4.0,206.0,6.042823,47.257457,2647.0588235294117,5.332718793265369,1
180000.0,68.0,4.0,514.0,6.042823,47.257457,2647.0588235294117,6.244166900663736,1
248000.0,129.0,5.0,1655.0,6.199747,47.123952,1922.4806201550387,7.412160334945205,1
150000.0,73.0,3.0,128.0,6.153801,47.104425,2054.794520547945,4.859812404361672,1
235000.0,95.0,4.0,750.0,6.661587,47.491493,2473.684210526316,6.621405651764134,1
40000.0,76.0,3.0,539.0,6.129423,47.286732,526.3157894736842,6.29156913955832,1
400000.0,163.0,5.0,649.0,5.966737,47.322774,2453.98773006135,6.476972362889683,1
190000.0,160.0,5.0,413.0,6.541191,47.454392,1187.5,6.025865973825314,1
230000.0,113.0,4.0,802.0,6.064436,47.279584,2035.3982300884957,6.688354713946762,1
166500.0,100.0,4.0,836.0,6.224351,47.061449,1665.0,6.729824070489475,1
167000.0,76.0,4.0,613.0,6.133188,47.102529,2197.3684210526317,6.419994928147142,1
174000.0,95.0,3.0,1041.0,5.941051,47.336315,1831.578947368421,6.948897222313312,1
196500.0,83.0,5.0,232.0,5.984841,47.273421,2367.4698795180725,5.4510384535657,1
273200.0,101.0,4.0,1049.0,6.003084,47.302657,2704.9504950495048,6.956545443151569,1
165000.0,150.0,6.0,552.0,5.904188,47.322609,1100.0,6.315358001522335,1
290800.0,179.0,8.0,1204.0,6.117141,47.017085,1624.5810055865923,7.094234845924755,1
290800.0,179.0,8.0,1516.0,6.117141,47.017085,1624.5810055865923,7.324489979348532,1
232500.0,130.0,4.0,423.0,5.969979,47.185984,1788.4615384615386,6.049733455231958,1
338399.0,95.0,4.0,411.0,6.004415,47.255037,3562.0947368421052,6.021023349349527,1
168937.03,115.0,0.0,2695.0,6.498613,47.399737,1469.0176521739131,7.899524472032198,1
168937.03,665.0,0.0,2695.0,6.498613,47.399737,254.04064661654135,7.899524472032198,1
255000.0,88.0,5.0,653.0,6.16291,46.854656,2897.7272727272725,6.483107351457199,1
110000.0,100.0,5.0,500.0,6.602588,47.453001,1100.0,6.2166061010848646,1
110000.0,100.0,5.0,739.0,6.602588,47.453001,1100.0,6.606650186198215,1
461437.0,149.0,5.0,1147.0,6.343266,46.770606,3096.8926174496646,7.045776576879511,1
20000.0,100.0,4.0,673.0,6.539024,47.181475,200.0,6.513230110912307,1
195000.0,95.0,4.0,620.0,6.520617,47.216835,2052.6315789473683,6.431331081933479,1
195000.0,95.0,4.0,760.0,6.520617,47.216835,2052.6315789473683,6.634633357861686,1
425615.0,111.0,6.0,111.0,6.016358,47.240945,3834.3693693693695,4.718498871295094,1
170100.0,53.0,3.0,246.0,6.138954,47.103752,3209.433962264151,5.5093883366279774,1
93000.0,85.0,4.0,900.0,6.348955,47.473808,1094.1176470588234,6.803505257608338,1
195000.0,99.0,4.0,1000.0,6.531117,47.209181,1969.6969696969697,6.90875477931522,1
195000.0,99.0,4.0,767.0,6.531117,47.209181,1969.6969696969697,6.643789733147672,1
55060.0,136.0,0.0,921.0,6.640356,47.0849,404.8529411764706,6.826545223556594,1
145000.0,29.0,1.0,193.0,6.341957,46.766269,5000.0,5.267858159063328,1
170900.0,90.0,3.0,686.0,6.205178,47.330834,1898.888888888889,6.532334292222349,1
170900.0,112.0,4.0,686.0,6.205178,47.330834,1525.892857142857,6.532334292222349,1
456000.0,240.0,4.0,638.0,6.273289,47.040781,1900.0,6.459904454377535,1
213500.0,116.0,4.0,735.0,6.222438,47.064118,1840.5172413793102,6.601230118728877,1
385000.0,120.0,6.0,952.0,5.901846,47.183975,3208.3333333333335,6.859614903654202,1
385000.0,60.0,2.0,952.0,5.901846,47.183975,6416.666666666667,6.859614903654202,1
89500.0,100.0,5.0,230.0,6.666327,47.494324,895.0,5.442417710521793,1
95000.0,50.0,0.0,753.0,6.301457,47.233004,1900.0,6.625392368007956,1
95000.0,145.0,4.0,753.0,6.301457,47.233004,655.1724137931035,6.625392368007956,1
350000.0,1600.0,0.0,2550.0,6.533785,47.044005,218.75,7.844240718141811,1
151500.0,100.0,6.0,333.0,6.661392,47.523173,1515.0,5.811140992976701,1
291712.5,110.0,4.0,2650.0,5.889767,47.095924,2651.931818181818,7.8826922062890254,1
291712.5,238.0,9.0,2650.0,5.889767,47.095924,1225.6827731092437,7.8826922062890254,1
